Ligand,SMILE,PDBCode
3sww_decoy_5,CC[C@@](C)(CCC1=CC[C@H](C)[C@]1(C)[C@@H]1CC[C@H](C)C1)[C@]1(O)[C@H](C)C[C@@H](C)[C@H]1C,3sww
3sww_decoy_6,CCC1=C2C(=C(C)CC1)[C@@H](C)C[C@@H]2[C@H](O)C[C@]1(CC2CC2)CCC[C@H](C)[C@H]1C,3sww
3sww_decoy_7,CC[C@H]1CCCC[C@@]1(C)[C@@H](C)[C@](O)([C@H]1CC[C@H](C)CC1)[C@@H]1C[C@H]2CC[C@H](C2)C1,3sww
3sww_decoy_8,CC(C)[C@]1(C)CC[C@@H]2CC3=CCC=C3C[C@]2([C@H](C)[C@@]2(O)[C@@H](C)CCC2(C)C)C1,3sww
3sww_decoy_9,COCC1=NCCS1,3sww
3sxf_decoy_1,CCc1nc(NNC(=O)Nc2cc3sc(=O)[nH]c3cc2NC=O)c(C)cc1C,3sxf
3sxf_decoy_10,COc1ccc(NC(=O)C(=Cc2cc(C)c(C)o2)c2cnc(CO)s2)c2c1OCCO2,3sxf
3sxf_decoy_2,Cc1n[nH]nc1-c1ccccc1[C@@H](CC[N+](=O)[O-])c1ccccc1S(=O)(=O)NN,3sxf
3sxf_decoy_3,COc1ccc2c(=O)oc(=Nc3ccc(SC)c(O)c3)n(Cc3ccc(CO)o3)c2c1,3sxf
3sxf_decoy_4,COc1cc(NC(=O)c2cc3c([nH]c2=O)CSC3=O)cc(OCC2=CCCCCO2)c1,3sxf
3sxf_decoy_5,COC1=CCC(=O)c2c1[nH]c(=O)n(CCOc1c(O)cc(C)c3ccc(S)cc13)c2=O,3sxf
3sxf_decoy_6,O=C(CSCC(=O)Nc1ccc2c(c1)C(=O)OC2)Nc1ccc2c(c1)C=CC(=O)C2=O,3sxf
3sxf_decoy_7,Cc1cc(COC(=O)COC(=O)c2n[nH]c3cc4c(cc23)S(=O)(=O)CC4)cc(C)c1C,3sxf
3sxf_decoy_8,Cc1sc2c(c1NC(=O)C=Cc1ccc(C(=O)C3=CCOC(O)=C3)cn1)C(=O)OCC2,3sxf
3sxf_decoy_9,Cc1cc(CNC(=O)COc2ccc3oc4c(c3c2)C(=O)COC4)c(=NC=O)sc1C,3sxf
3t01_decoy_1,O=C1OC(=O)N2C(=O)[C@H](N(CF)C(=O)CP(O)O)C[C@@H]12,3t01
3t01_decoy_10,O=C(O)C[C@]1(COP(O)O)N=C(NCCO)[C@H](F)OC1=O,3t01
3t01_decoy_2,OO[C@@H](F)[C@@]1(O)CCOc2c(NCCP(O)O)noc21,3t01
3t01_decoy_3,COC(=O)[C@]1(CF)OC(=O)N(CCP(O)O)C(=O)[C@@H]1N,3t01
3t01_decoy_4,O=C(NCCOP(O)O[C@H]1COOO1)[C@@H]1C[C@H](F)CN1,3t01
3t01_decoy_5,CCOC(=O)[C@@]1(C)OCC(=N[C@H](F)NC(=O)OP(O)O)O1,3t01
3t01_decoy_6,C[C@@](F)(NC(=O)[C@@]1(C)CCNC(=O)O1)OC(=O)OP(O)O,3t01
3t01_decoy_7,O=C1N=C(OC(=O)NCCOP2OCCO2)[C@@H](F)C(=O)O1,3t01
3t01_decoy_8,O=PCNC(=O)CN1C(=O)[C@@H](OOC(=O)O)CC[C@H]1F,3t01
3t01_decoy_9,O=C(O)[C@H]1CCN(C(=O)[C@@](O)(F)CCP(O)O)C(=O)N1,3t01
3t03_decoy_1,CCc1c(C)c(C)cc(OC(=O)CN2C(=O)CCc3sccc32)c1Br,3t03
3t03_decoy_10,C=C1C2=CC=CC2=CN(CC=CCOc2ccc(C)cc2Br)S1(=O)=O,3t03
3t03_decoy_2,C=CC(C=CC1=NC(=O)C(=Cc2ccc3c(c2)OCCO3)S1)=CCBr,3t03
3t03_decoy_3,CCOC(=O)c1ccc2c(c1)CCCN2C(=O)c1cc(C)c(CBr)s1,3t03
3t03_decoy_4,C=C(Br)C(=CC)c1cc(-c2ccc(C=CC(=O)N(C)C)s2)cc(=O)o1,3t03
3t03_decoy_5,COc1ccc(Br)cc1Oc1cc(N2CCSCC2)ccc1OC,3t03
3t03_decoy_6,CCCCC=C1SC(=O)N(CCOC2=CC(Br)=CC=CC=C2C)C1=O,3t03
3t03_decoy_7,COC(=Cc1oc(C)cc1-c1ccc(Br)cc1)C(=O)N1CCSC1,3t03
3t03_decoy_8,CCOc1c(C)cc(CC(=O)N2CCCc3csc(=O)cc32)cc1Br,3t03
3t03_decoy_9,CC=Cc1c(Br)c(C)cc(S(=O)(=O)N2CCCCC2)c1C1=CCOC1,3t03
3t08_decoy_1,CC1(C)[C@H](O)[C@@H](O)CO[C@]1(O)CSCO,3t08
3t08_decoy_10,C[C@@]1(O)OCC[C@@](O)(CO)[C@@H]1SCCO,3t08
3t08_decoy_2,C[C@@](O)(CSO)[C@@]1(C)C[C@H](O)[C@@H](O)CO1,3t08
3t08_decoy_3,C[C@@]1([C@H](CO)OCO)CSC[C@@H](O)[C@@H]1O,3t08
3t08_decoy_4,OCO[C@@H]1CC[C@@]2(O)[C@H](O)C[C@@]2(CO)S1,3t08
3t08_decoy_5,OC[C@@H](O)CO[C@@H]1C[C@H](O)CSC[C@@H]1O,3t08
3t08_decoy_6,C[C@]1(O)OCC[C@H](SC[C@H](O)CO)[C@H]1O,3t08
3t08_decoy_7,CO[C@@]1(C)CS[C@H](O)[C@H](O)C1(CO)CO,3t08
3t08_decoy_8,OC[C@]1(CCSO)[C@@H](O)CCOC[C@@H]1O,3t08
3t08_decoy_9,OCC1=C[C@@H](O)SC=C1OC[C@H](O)CO,3t08
3t09_decoy_1,OC[C@]1(O)C[C@@](O)(CO)[C@@H](O)O1,3t09
3t09_decoy_10,[NH3+][C@H]1CCCc2[nH]c(=O)c(C3=CCCCC3)cc21,3t09
3t09_decoy_2,OC[C@@H]1OC[C@@](O)(C(O)O)O1,3t09
3t09_decoy_3,OC[C@@]1(O)O[C@H](O)CCC1(O)O,3t09
3t09_decoy_4,C[C@]1(C(=O)O)O[C@H](O)[C@H](O)[C@@H]1O,3t09
3t09_decoy_5,C[C@]1(O)C[C@@](O)(C(O)O)O[C@H]1O,3t09
3t09_decoy_6,CO[C@H]1C=C(O)[C@@H](O)O[C@@H]1O,3t09
3t09_decoy_7,[NH3+]C1=CCN[C@@H]([C@H]2CCC[C@@]3(CCCCO3)C2)C1,3t09
3t09_decoy_8,CC[C@H]1C[C@@H]2C(=CNC3=C2[C@@H](C)CCC3)C(=O)[NH2+]1,3t09
3t09_decoy_9,CC1=C(C[NH3+])C(=O)N2CC[C@H]3CC(C)(C)C=C1[C@@H]32,3t09
3t0b_decoy_1,CC1(C)[C@H](O)[C@@H](O)CO[C@]1(O)CSCO,3t0b
3t0b_decoy_10,C[C@@]1(O)OCC[C@@](O)(CO)[C@@H]1SCCO,3t0b
3t0b_decoy_2,C[C@@](O)(CSO)[C@@]1(C)C[C@H](O)[C@@H](O)CO1,3t0b
3t0b_decoy_3,C[C@@]1([C@H](CO)OCO)CSC[C@@H](O)[C@@H]1O,3t0b
3t0b_decoy_4,OCO[C@@H]1CC[C@@]2(O)[C@H](O)C[C@@]2(CO)S1,3t0b
3t0b_decoy_5,OC[C@@H](O)CO[C@@H]1C[C@H](O)CSC[C@@H]1O,3t0b
3t0b_decoy_6,C[C@]1(O)OCC[C@H](SC[C@H](O)CO)[C@H]1O,3t0b
3t0b_decoy_7,CO[C@@]1(C)CS[C@H](O)[C@H](O)C1(CO)CO,3t0b
3t0b_decoy_8,OC[C@]1(CCSO)[C@@H](O)CCOC[C@@H]1O,3t0b
3t0b_decoy_9,OCC1=C[C@@H](O)SC=C1OC[C@H](O)CO,3t0b
3t0d_decoy_1,OC[C@]1(O)C[C@@](O)(CO)[C@@H](O)O1,3t0d
3t0d_decoy_10,[NH3+][C@H]1CCCc2[nH]c(=O)c(C3=CCCCC3)cc21,3t0d
3t0d_decoy_2,OC[C@@H]1OC[C@@](O)(C(O)O)O1,3t0d
3t0d_decoy_3,OC[C@@]1(O)O[C@H](O)CCC1(O)O,3t0d
3t0d_decoy_4,C[C@]1(C(=O)O)O[C@H](O)[C@H](O)[C@@H]1O,3t0d
3t0d_decoy_5,C[C@]1(O)C[C@@](O)(C(O)O)O[C@H]1O,3t0d
3t0d_decoy_6,CO[C@H]1C=C(O)[C@@H](O)O[C@@H]1O,3t0d
3t0d_decoy_7,[NH3+]C1=CCN[C@@H]([C@H]2CCC[C@@]3(CCCCO3)C2)C1,3t0d
3t0d_decoy_8,CC[C@H]1C[C@@H]2C(=CNC3=C2[C@@H](C)CCC3)C(=O)[NH2+]1,3t0d
3t0d_decoy_9,CC1=C(C[NH3+])C(=O)N2CC[C@H]3CC(C)(C)C=C1[C@@H]32,3t0d
3t1a_decoy_1,C[C@H]1C[C@@H](C)CC(N)=C(c2ccco2)C[NH2+]CC2=c3ccsc3=NC=CN2C1,3t1a
3t1a_decoy_10,O=C(Cn1c(=O)c(=O)[nH]c2ccccc21)Nc1c(C2=CC=C=C2)[nH][nH]c1=NCF,3t1a
3t1a_decoy_2,CC=C1CCN2C(=O)N[C@@H](c3cccs3)C[C@@](C)(CO)CCN=c3[nH]ccc3=C12,3t1a
3t1a_decoy_3,CC=CC=C1COC2=C1C(C)=CC=C(C(=N)N)C=C(C)C=NC(=CC=S)C(=O)N2,3t1a
3t1a_decoy_4,O=C(Nc1ccc(C(=O)c2cc(CF)[nH]c(=O)c2)cc1)Nc1cn2cc[nH+]c2[nH]1,3t1a
3t1a_decoy_5,[NH3+][C@@H]1Cc2c1n[nH]c2Oc1ccc(NC(=O)c2c(F)ccc3c2=NCN=3)c(O)c1,3t1a
3t1a_decoy_6,COc1cc(F)ccc1NC(=O)NCCNC(=O)c1nc2cc3c([nH+]c2[nH]1)=CC=3,3t1a
3t1a_decoy_7,COc1c(F)ccc2oc(=O)c(C[NH3+])c(CNc3cc(C)n(-c4cc[nH]n4)n3)c12,3t1a
3t1a_decoy_8,COC(=NN=C(N[C@H]1CC[NH2+]C1)c1cc(F)ccn1)c1cc2cocc2c(=O)[nH]1,3t1a
3t1a_decoy_9,Cc1cc2c(cc1NC(=O)C=CC1=CC(=Nc3cc(=O)[nH][nH]3)CN1)NC(=O)C2,3t1a
3t1m_decoy_1,C=CC(O)=C1CC[C@@]2(C(=O)N(C)[C@@]3(C)C(=C)C(=C)N[C@]23Br)C([C@@](F)(Cl)N(F)Cl)=N1,3t1m
3t1m_decoy_10,CCOc1c(Sc2ccc(Oc3ccc(NC)c(OC)c3)c(C)c2)ccc2c1OCO2,3t1m
3t1m_decoy_2,CC[C@@](Cl)(C1=CN(F)[C@@](C(=O)Br)(C(=NC2=CCCC2)OC(N)=O)N1Cl)C(C)=C(C)F,3t1m
3t1m_decoy_3,CC=C1CC(=O)CCCC(F)=C(C)C2=C3N(N=NC2=NC(=O)C1)[C@]3(Cl)[C@@](F)(Cl)Br,3t1m
3t1m_decoy_4,CC1=CC=C=C(Br)c2cc[nH]c2CN(Cl)[C@](F)(N=C=C(F)CCl)C(=O)N=C1C=O,3t1m
3t1m_decoy_5,C=CCC[C@H]1C(Cl)=C(Cl)C(=NC=O)[C@@H](Cl)c2nc(C(F)(F)C(=C)Br)c(CO)nc21,3t1m
3t1m_decoy_6,C=CC=C(C=C1C(OCCOC(=O)c2ccc[nH]2)=C2OC=CC=C2C[C@H]1SCC)OC,3t1m
3t1m_decoy_7,COc1cc(CCc2ncc(C=CC(=O)OCc3ccsc3)o2)c2c(c1C)O[C@@H](C)C2,3t1m
3t1m_decoy_8,O=Cc1cc(Oc2ccc(N=C(O)C3=CCOC=C3)cc2)ccc1OC1=CCSC=C1,3t1m
3t1m_decoy_9,COc1cc(CSC[C@@H]2OC(=O)c3cc(NC(=O)C4CC4)ccc32)cc(OC(C)C)c1,3t1m
3t2q_decoy_1,OC[C@]1(O)C[C@@](O)(CO)[C@@H](O)O1,3t2q
3t2q_decoy_10,[NH3+][C@H]1CCCc2[nH]c(=O)c(C3=CCCCC3)cc21,3t2q
3t2q_decoy_2,OC[C@@H]1OC[C@@](O)(C(O)O)O1,3t2q
3t2q_decoy_3,OC[C@@]1(O)O[C@H](O)CCC1(O)O,3t2q
3t2q_decoy_4,C[C@]1(C(=O)O)O[C@H](O)[C@H](O)[C@@H]1O,3t2q
3t2q_decoy_5,C[C@]1(O)C[C@@](O)(C(O)O)O[C@H]1O,3t2q
3t2q_decoy_6,CO[C@H]1C=C(O)[C@@H](O)O[C@@H]1O,3t2q
3t2q_decoy_7,[NH3+]C1=CCN[C@@H]([C@H]2CCC[C@@]3(CCCCO3)C2)C1,3t2q
3t2q_decoy_8,CC[C@H]1C[C@@H]2C(=CNC3=C2[C@@H](C)CCC3)C(=O)[NH2+]1,3t2q
3t2q_decoy_9,CC1=C(C[NH3+])C(=O)N2CC[C@H]3CC(C)(C)C=C1[C@@H]32,3t2q
3t2w_decoy_1,COC1=CC=C(C(=O)NC(=O)N[C@@H]2C[C@H]2[C@H]2CCOC2)OC1=CNC(N)=O,3t2w
3t2w_decoy_10,CCC[C@]1(C)NC(=O)N(C2=C3NC(C(=O)O)=CCC[C@@H]3C(=O)NC2=O)C1=O,3t2w
3t2w_decoy_2,CC(=O)NCC(=O)OC(C)(C)C1=C2NC(=O)C[C@@H](C3=CCON3)[C@@H]2NC1=O,3t2w
3t2w_decoy_3,COC(=O)C=C1COC(=O)c2c1[nH]c(C)c2CNC(=O)N[C@H]1CO[C@@H](N)C1,3t2w
3t2w_decoy_4,CNC(=O)[C@@H]1OC(=O)C(C=C2NC(=O)c3c(C)[nH]c(C)c32)=C1OCC(N)=O,3t2w
3t2w_decoy_5,C=C(C=N)[C@@H](O)[C@@H]1CN(C(=O)C(=O)N[C@H]2C=C(N)C(OC)=CC2=O)CCO1,3t2w
3t2w_decoy_6,CC=C1O[C@@H](CNC(=O)[C@@]2(C)NC(=O)[C@H](CO)NC2=O)CN2C(=O)CC=C12,3t2w
3t2w_decoy_7,CCC=CC1=C(N)NC2=CCC=C2C(=O)NNC(=O)[C@H](C(=O)OC)OC1=O,3t2w
3t2w_decoy_8,C=C1NC=C(O)C=C1OCC(=O)NC(=CC1=NC(=O)[C@@H](C2CC2)O1)C(N)=O,3t2w
3t2w_decoy_9,COC1=CC[C@@H](N)OC2=C(C=O)CCC[C@@H]2NC(=O)C(=O)NC(C(N)=O)=C1,3t2w
3t3c_decoy_1,C=CC(=CCCl)CCn1c(=O)[nH]c2nccc(C[N@@H+]3CCC[C@H](c4[nH+]c5c(o4)COCOC5)CC3)c2c1=O,3t3c
3t3c_decoy_10,C[NH2+]CCc1cccc(Oc2ccc3c(c2OCO)OC2=NN4CC[N@@H+](C)CCN5C(=O)CC3=C2[C@H]45)c1,3t3c
3t3c_decoy_2,CCc1[nH+]c2c(c(=O)o1)CC[N@H+](Cc1[nH]c([C@@H]3CCCN(C(=O)c4occc4C)C3)nc1C=CC(=O)Cl)C2,3t3c
3t3c_decoy_3,Cc1cccc(COC(=O)COC(=O)C[N@@H+](C)c2nnc3n2C(=O)c2ccccc2-3)c1-c1cc[nH+]c(Cl)c1,3t3c
3t3c_decoy_4,CO[C@H](C)COC(=O)Cn1c(=O)c(C[N@@H+]2CCN3C[NH2+]C[C@]3(C)C2)c2ccc3cc(Cl)c(C)cc3n2c1=O,3t3c
3t3c_decoy_5,CCOCc1oc(OC)c(-c2nc3c4c(ncc3[nH]2)[C@H]([NH2+]CC2Oc3ccccc3O2)C[C@@H]4[NH+](C)C)c1Cl,3t3c
3t3c_decoy_6,C[N@@H+]1CCC[C@@H](C(=O)N2CC[N@H+](CCOC(=O)Cn3ncc4cc(Oc5ccc(O)c(Cl)c5)ccc43)C2)C1,3t3c
3t3c_decoy_7,COc1ccccc1NC(=O)COC(=O)c1c(CCl)[nH+]c(N2CCCC2)[nH+]c1-c1ccc2c(c1)C(=O)CN2,3t3c
3t3c_decoy_8,C[NH2+]Cc1ccc(Oc2ccc(Oc3nnc([N+]4=C5C(=O)OCCCC5=CC[C@@H]4C)[nH]c3=O)c(Cl)c2)cc1,3t3c
3t3c_decoy_9,COCc1ccc(Cl)c[n+]1-c1ccc(C(=O)Nc2ccc(O[C@H]3CC[NH2+]C3)c(C(=O)OCC3CC3)c2)nn1,3t3c
3t3u_decoy_1,CCc1cc(-n2nnc3ccc(NC(=O)c4ccn(C)c(=O)c4)cc32)c(C)cc1Cl,3t3u
3t3u_decoy_10,C=C1C=C(Cl)C(C(=O)N2CCN(C(=O)Cn3ccnc3SC(C)C)C3=C(C)C=C[C@@H]32)=C1,3t3u
3t3u_decoy_2,Cc1nc2c(c([C@@H](C)N3CCN(C(=O)c4c(C)noc4C)CC3)c1Cl)C=CCN2,3t3u
3t3u_decoy_3,CCc1cc(-c2cncn2C[C@H]2C=CCN2C(=O)c2cccc(Cl)c2O)nc(C)n1,3t3u
3t3u_decoy_4,CCC[C@H]1CC2=CCC(Cl)=C2CN1C(=O)c1nc(-c2cccs2)n(C(=O)C(C)(C)C)n1,3t3u
3t3u_decoy_5,CCCOC(=O)c1ccc2c(c1)CN(C)C=NN=CC[C@@H]1Sc3ccc(Cl)cc3C1=N2,3t3u
3t3u_decoy_6,COCC(=NC1=NC(C(C)=O)=C2[C@@H](CCN2C=CCl)S1)n1ccc2cc(C)c(C)cc21,3t3u
3t3u_decoy_7,Cc1ccc([C@@H](C)OC(=O)c2ccc(C=NN=C3C=CN4CCN=C4S3)cc2)cc1Cl,3t3u
3t3u_decoy_8,C[C@]1(Cl)CCN(C(N=Nc2ccno2)=NC(=O)c2ccc(C=C3C=CC=CS3)cc2)C1,3t3u
3t3u_decoy_9,CC1=C(C)N2C(=NN(CN3C(=O)CCC(C)(C)C3=O)C(c3cc(C)cc(Cl)n3)=C2C)S1,3t3u
3t3z_decoy_1,CN=CC(C#N)=CC1=CCOC=C1OC,3t3z
3t3z_decoy_10,N=C(N)[C@@H](O)C1=C(C2=C(O)[C@H](O)CO2)OCCO1,3t3z
3t3z_decoy_2,O=CC(=C[C@@H]1CCCOC1)N1CCC=N1,3t3z
3t3z_decoy_3,COCC1=C(C)N2CC(=O)N=C2C=C1C,3t3z
3t3z_decoy_4,C=CC(=C)CN1C(=O)N2CC(=O)C[C@@H]1C2,3t3z
3t3z_decoy_5,C[C@@H]1CN=C(COC2=CCC=C2)N1C=O,3t3z
3t3z_decoy_6,C=C1OC(=C(C#N)COC)N(CC)C1=C,3t3z
3t3z_decoy_7,C=CC(=C)CN=CN=C1COC[C@@H](C)O1,3t3z
3t3z_decoy_8,C[C@@H]1CC(=CC2=CN=CN(C)C2)C(=O)O1,3t3z
3t3z_decoy_9,C[C@H]1CN=CN(C2=CC(=CO)COC2)C1,3t3z
3t5u_decoy_1,Cc1nc(CNC(=O)N[C@](C)(C[NH3+])c2ccco2)cc2c1CC=C2,3t5u
3t5u_decoy_10,Cc1nn2c(=O)c(N3CCC[C@H](CC(C)(C)C)C3)nnc2[nH]1,3t5u
3t5u_decoy_2,C=C1COC(CNC2=C(C(=O)Nc3ccccc3)CC[C@H]([NH3+])C2)=N1,3t5u
3t5u_decoy_3,C=C1C=C(C[NH2+]Cc2ccc3[nH]c(=O)n(C)c(=O)c3c2)C(N)=CC1,3t5u
3t5u_decoy_4,[NH3+]CCN1CCc2ccc(NC(=O)Nc3ccccc3O)cc2C1,3t5u
3t5u_decoy_5,Cc1ccc(C(=CC(=O)Nc2ccc3c(c2)NNO3)CC[NH3+])cc1,3t5u
3t5u_decoy_6,Nc1ccccc1Oc1ccc(NC(=O)C2=CCC(=C[NH3+])N2)cc1,3t5u
3t5u_decoy_7,C[C@H]1CCCCN(Cc2nc(-c3cnccn3)nc(=O)[nH]2)CC1,3t5u
3t5u_decoy_8,C=NC(=CC)N1CCC[C@H](c2nnc(C=C3CNC(C)=N3)o2)C1,3t5u
3t5u_decoy_9,CC=CC1=CN=C2N(C)OCCN2C1=C1N=NC(CCC)=CN1,3t5u
3t64_decoy_1,CC1(C)CCCC[C@]2([C@@H](O)[C@@H]3CCC[C@@H](CCCCCCO)CC3)CCCC[C@]12O,3t64
3t64_decoy_10,CCC(=O)CCC(=O)n1c(C(=O)NC[C@@](CC)(C[NH3+])C(N)=O)cc2sccc2c1=O,3t64
3t64_decoy_2,CCCC1=C([C@]2(CC(C)(C)C)CC[C@](C)([C@@]3(C)[C@@H](O)C[C@H]3O)O2)C2=CCC[C@]2(C)C1,3t64
3t64_decoy_3,Cc1ccc([C@H](O)[C@H](CCO)[C@H]2CC[C@H]([C@@]3(C)CCCC3(C)C)C[C@H]2O)c(C)c1C,3t64
3t64_decoy_4,CCCC[C@@H]1[C@@H](C(C)C)C2(CCCCC2)[C@@](O)([C@H](C)CCO)[C@@]1(O)CC1CCCC1,3t64
3t64_decoy_5,CCCC[C@](CC)([C@@](C)(O)C[C@H]1CCCC2=CCC=C21)[C@@]1(O)CC=CC[C@@H]1C(C)=O,3t64
3t64_decoy_6,CC[C@H]1C[C@H]2CC[C@H](C2)[C@]1(O)[C@]1(CCOC2=CCC=C2C)CC[C@H](C)C[C@@H]1CCO,3t64
3t64_decoy_7,CCc1ccc(OC=c2c(=O)[nH]c(=CC(C)=O)n(CCNCC[SH]=O)c2=O)cc1[NH3+],3t64
3t64_decoy_8,CCN(CCC(=O)O)C(=S)Nc1cc(C(=O)NC2=C[C@@H](CO)[NH2+]C2)c(OC)cc1C,3t64
3t64_decoy_9,CSC(=CC(N)=O)C=C(CNC(=O)C1CCOCC1)C(=O)NCc1ccc(C[NH3+])o1,3t64
3t70_decoy_1,COc1ccc(N[C@@H]2CC[NH2+]C2)cc1C=CC(=O)Nc1cnn(C)c1C1CC1,3t70
3t70_decoy_10,COc1ccc(-c2ccccc2SCC(=O)NNC(=O)C2=C[C@@H](Br)OC=C2)cc1O,3t70
3t70_decoy_2,C[C@H]1CCC[C@H]([NH2+]CCCCc2n[nH]c3c2c(=O)[nH]c2ncn(C)c(=O)c23)[C@@H]1C,3t70
3t70_decoy_3,Cc1nc2cncnc2n1C(=O)CC[NH2+][C@@](C)(C(=O)Nc1ccccc1)C1CC1,3t70
3t70_decoy_4,CC(=CC=O)c1cc(OCc2ccc(C(=O)Nc3c(Br)ccsc3=O)o2)ccc1N,3t70
3t70_decoy_5,CC=C(NC(=O)c1oc(C)cc1C(=O)Nc1ccc2c(c1)C(=O)CSC2)C(O)=CBr,3t70
3t70_decoy_6,Cc1sc(=O)[nH]c1CCC(=O)Oc1ccc(Oc2ccc(O)c(C)c2CN)c(Br)c1,3t70
3t70_decoy_7,COCc1nc(O)c(Br)cc1COC(=O)c1c(NC(C)=O)sc2c1CCC(C)(C)C2,3t70
3t70_decoy_8,COC(=O)c1cc2[nH]c(N)c(C#N)c(=O)c2cc1Oc1ccc(OC(C)C)cc1Br,3t70
3t70_decoy_9,C=CCOc1ccc(NC(=O)OCC(=O)Nc2sc(=CCBr)c3c2C=CC=3)cc1O,3t70
3t82_decoy_1,COC(=O)OCC(=O)OC[C@@H](O)[C@@H](N)[C@@H](C)C(=O)O[S@@](=O)O,3t82
3t82_decoy_10,C=CC(=CCl)N1CCC(=O)OCC1=O,3t82
3t82_decoy_2,COC(=O)CS[C@@]1(C(=O)OC[C@H](O)CO)[NH2+]C(=O)O[C@H]1O,3t82
3t82_decoy_3,CCOC1=C(CCl)C(=O)OCCN1C,3t82
3t82_decoy_4,CCOC(=O)C=C1C=C(Cl)C=NC1=O,3t82
3t82_decoy_5,CN1CC(C=C(Cl)C=O)=COCC1=O,3t82
3t82_decoy_6,CN(CCCl)[C@@H]1COC(=O)OC1(C)C,3t82
3t82_decoy_7,C=C1N=C(C(=O)OC)[C@@H](Cl)COC1=C,3t82
3t82_decoy_8,COC1=C(Cl)C(C(=O)N(C)C)=CCO1,3t82
3t82_decoy_9,COC(=O)C1=C(C)N(C=O)CC(Cl)=C1,3t82
3t83_decoy_1,COC(=O)N[C@@](C)(C(=O)O[C@@H](C)C(=O)OC)C(=O)O[C@H](C)C1=C(C=O)OOS1,3t83
3t83_decoy_10,COC(=O)[C@](C)(OC(=O)N[C@H]1CC[C@@](O)(OC(=O)CO[SH]=O)C1)[C@H]1COCO1,3t83
3t83_decoy_2,COC(=O)NC(=O)S[C@H](C(=O)OC)C(=O)C(=O)OC[C@H](O)CO[C@H]1CCOC1,3t83
3t83_decoy_3,COC[C@@H](O)[C@H](C)OC(=O)COC(=O)COC(=O)NC(=O)[C@H]1CSCC(=O)O1,3t83
3t83_decoy_4,COC[C@@H](OC(=O)COC(=O)NC(=O)COC(=O)[C@@H]1SCC[C@@H]1O)C(=O)OC,3t83
3t83_decoy_5,COC(=O)OCCOC(=O)N[C@@]1(C(=O)OCC(=O)O[C@H](C)CO)C[C@@H](O)CS1,3t83
3t83_decoy_6,CCOC(=O)NC(=O)[C@@H]1S[C@H](C(=O)O[C@@H](CC(=O)OC)C[C@H](O)CO)OC1=O,3t83
3t83_decoy_7,C[C@H]1CN(C(=O)OCC(=O)O[C@H](C)C(=O)O[C@@H](C[S@](=O)O)C(=O)O)C[C@@H](C)O1,3t83
3t83_decoy_8,COC(=O)CSC(=O)NC(=O)OCC(=O)OCCO[C@H]1OC[C@@H](C)[C@H](O)[C@@H]1O,3t83
3t83_decoy_9,C[C@@H](CC(=O)O[C@@H](C)[C@H](C)[S@@](=O)CC(=O)O)OC(=O)NC(=O)[C@H]1COC(=O)O1,3t83
3t84_decoy_1,C=CNC1=C(C(=O)OCC)CN(C)C1,3t84
3t84_decoy_10,COC(=O)c1cc(-c2ccc3cc(S)ccc3c2)[nH]n1,3t84
3t84_decoy_2,C=C1CNC2=C1CN(C(=O)OC)CC2,3t84
3t84_decoy_3,O=C(C1=CNCC=C1)N1CCOCC1,3t84
3t84_decoy_4,O=[SH]c1ccc2[nH]c(=O)c(Nc3ccccc3)cc2c1,3t84
3t84_decoy_5,Cc1[nH]c(=O)sc1-c1ccc(-c2cccc(O)c2)cn1,3t84
3t84_decoy_6,Nc1cc(-c2ccc([SH](=O)=O)cc2)c2ccccc2n1,3t84
3t84_decoy_7,O=C(NCC1=CCSC=C1)c1cc2c([nH]c1=O)CCC2,3t84
3t84_decoy_8,C=C(S)CN1CCc2c(oc3cccc(N)c3c2=O)C1,3t84
3t84_decoy_9,O=C(Nc1ccc(S)cc1)c1cc2c([nH]c1=O)CCC2,3t84
3t85_decoy_1,NC(S)=C(O)C(=O)OCCOC(=O)[C@@H]1OC(=O)OC[C@@H]1O,3t85
3t85_decoy_10,CCCc1c(C2=C(CCO)CCCO2)cc(OC)c(O)c1CO,3t85
3t85_decoy_2,CS[C@@](N)(O)[C@@]1(O)COCOCOC(=O)COC(=O)OC1,3t85
3t85_decoy_3,NC(=O)[C@H]1OC(=O)O[C@@H]1C(=O)OCC(=O)O[C@H](CO)C[SH]=O,3t85
3t85_decoy_4,C[C@@]1(O)C(=O)OCO[C@H]1ONC(=O)SCC(=O)OCCO,3t85
3t85_decoy_5,CO[C@@H](OCC(=O)O[C@@](N)(CO)CSO)[C@]1(O)COCO1,3t85
3t85_decoy_6,COC(=O)[C@H](O)O[C@@H](O)CSC(=O)[C@@]1(C)OC(=O)NC1=O,3t85
3t85_decoy_7,CO[C@H](O)CS[C@@H]1NC(=O)[C@@H](OC(=O)COC(=O)CO)O1,3t85
3t85_decoy_8,O=C(O)NC(=O)[C@@]1(CS[C@@H](O)C(=O)OCCO)COCO1,3t85
3t85_decoy_9,NC(=O)C(=O)OC[C@]1(COC(=O)[C@H](SO)C(O)O)COCO1,3t85
3t8v_decoy_1,COCCOC(=O)C1=C(SC)N[C@@H]2C(=O)C=C(OC)C=C2C1=CC(=O)Nc1cc(CCS)c2c(c1)[C@@H](O)CCC2,3t8v
