PDBCode,RDKitCanonSmile
6ma2,[H]N(C(C(=O)N(CC(=O)O)Cc1cccs1)c1ccccc1OC)S(=O)(=O)c1ccc2c(ccc(=O)n2[H])c1
5i2f,[H]OC1C(CN([H])S(=O)(=O)N([H])C(C)=O)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
4gih,[H]N1CC=C(N([H])C(=O)c2c(Cl)cccc2Cl)C=C1N([H])C(=O)C1CC1
3n9r,[H]OCC=CCN(O[H])C(=O)COP(=O)(O)O
5tci,O=C(O)CC(=O)O
1fpc,[H]N([H])C(N([H])CCCC(C(=O)N1CCC(CC)CC1)N([H])S(=O)(=O)c1cccc2c(N(C)C)cccc12)=[N+]([H])[H]
2ha2,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
6d56,[H]N1c2c(C3=C(C)N([H])N([H])C3C)cc(Cl)cc2N(Cc2cc(C)c(F)c(C)c2)C1N1CC2(C1)C[N+]([H])([H])C2
1okl,[H]N([H])S(=O)(=O)c1cccc2c(N(C)C)cccc12
3s45,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(N([H])[H])cc1)C(Cc1ccccc1)N([H])C(=O)OC1CCOC1
1f8e,[H]OC(C[N+]([H])([H])[H])C(O[H])C1OC(C(=O)O)=CC([N+]([H])([H])[H])C1N([H])C(C)=O
6hp9,[H]N1C=C(N([H])C2Cc3ccc(C(=O)N([H])c4cc(N5C=C(C)N([H])C5)cc(C(F)(F)F)c4)cc3C2)CN([H])C1
2wer,[H]Oc1cc(O[H])c2c(c1Cl)CC(=O)C=CC=CC1OC1CC(C)OC2=O
5etb,[H]n1cc(C(C)=O)c2cccc(C)c21
4zx3,[H]ON([H])C(=O)C(c1ccc(Br)cc1)N([H])C(=O)C(C)(C)C
1rr6,[H]OCC1C(O[H])C(O[H])C(c2cn([H])c3c2N([H])CN([H])C3=O)[N+]1([H])[H]
3g34,[H]N1CN(CC2N([H])NN([H])N2[H])C(=O)c2c1sc1c2CCCC1
4ixh,[H]OC1C(COP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3=O)C1O[H]
5nkg,[H]N(C(=O)C1=CN([H])C(N([H])c2cc(CC)cc(C(=O)N([H])C3CC[N+]([H])([H])CC3)c2)S1)c1c(C)cccc1Cl
6epa,[H]N(C(=O)CC(c1ccccc1)c1ccccc1)C1Sc2ccccc2N1[H]
5yak,[H]Oc1ccc(CC(C(=O)O)[N+]([H])([H])[H])cc1F
3ao2,[H]N([H])C1=CC(c2cc(Br)c3c(c2)OCO3)N([H])N1C
3sxf,[H]N([H])C1C2=C(c3ccc4cc(OCC)ccc4c3)N([H])N(C(C)C)C2N([H])CN1[H]
4bj8,[H]N1C(=O)N([H])C2C(CCCCC(=O)O)SCC21
2wzs,[H]OCC1C(O[H])C(O[H])C(O[H])C2N([H])C=CN12
5c5t,O=C(O)CCC(=O)C(=O)O
2x7u,[H]OC1CCC2C3CCc4cc(OS(O)(O)N([H])[H])c(OC)cc4C3CCC12C
1k1o,[H]N([H])C(N([H])CCCN([H])C(=O)C1CCCCN1C(=O)C(CC1CCCCC1)[N+]([H])([H])CC(=O)O)=[N+]([H])[H]
5mob,[H]OC1(C=CC(C)=CC(=O)O)C(C)=CC(=O)CC1(C)C
5e2s,[H]N([H])S(=O)(=O)c1ccc(-c2ccccc2C(C)C)cc1
3buf,[H]Oc1ccc(CC(C)[N+]([H])([H])[H])cc1
4dcs,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C1O[H]
5d47,[H]N1C=C(OC)C(c2c(-c3ccccc3)n(CCC(=O)O)c3ccc(C4CC4)cc23)=CC1
4cjr,[H]N(Cc1ccc(OC)cc1)C(=O)c1cc2c(cc1C[N+]([H])(C)Cc1cccc(OC)c1C(=O)O)OCO2
3arq,[H]Oc1c2c(c(O[H])c3c1C(=O)c1ccccc1C3=O)C(OC1CC([N+]([H])([H])[H])C(O[H])C(C)O1)CC(O[H])(C(C)=O)C2
5fqd,[H]N1C(=O)CCC(N2Cc3c(cccc3N([H])[H])C2=O)C1=O
1cbx,O=C(O)CC(Cc1ccccc1)C(=O)O
5f63,[H]N1C=C(C)C(N([H])c2ccc(Cl)c(N([H])S(=O)(=O)C(C)(C)C)c2)N([H])C1N([H])c1ccc(C(=O)N([H])C2CC[N+]([H])(C)CC2)c(F)c1
3m35,[H]N(C(=O)C1=CC(C(F)(F)F)N([H])N1c1cccc(C[N+]([H])([H])[H])c1)c1ccc(-c2ccccc2S(C)(=O)=O)cc1F
1pb9,[H]N1OCC([N+]([H])([H])[H])C1=O
2pu2,[H]Oc1ccc(CC(C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1
5v3y,[H]Oc1ccc(-c2oc3ccc(O[H])c(CN4CCCCC4)c3c2C(=O)N([H])C)cc1
4xtx,[H]OC1C(COS(O)(O)N([H])C(=O)CCCCC2SCC3C2N([H])C(=O)N3[H])OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1N([H])NN([H])[H]
5boj,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
5nk6,[H]OC1CCC(N([H])C(=O)c2cccc(N([H])C3SC(C(=O)N([H])c4c(C)cccc4Cl)=CN3[H])c2)CC1
4n5d,[H]N([H])C1=CC2=CN([H])C(C)N([H])C2N(C)C1=O
1l8g,[H]N(C(=O)C(=O)O)c1sc2c(c1C(=O)O)CCOC2COC1c2ccccc2S(=O)(=O)N1[H]
1g3d,[H]Oc1ccc(C(N([H])[H])=[N+]([H])[H])cc1CN([H])C(C)C(=O)O
6d3q,[H]OC1CC(P(=O)(O)O)C(=O)N1O[H]
4r06,[H]N(C(=O)c1ccc2c(ccn2S(=O)(=O)c2cccc3ccccc23)c1)C(CC)c1ccccc1
6elp,[H]Oc1cc(O[H])c(C2C=CN([H])N2c2ccccc2Cl)cc1CCC1C=CC=CN1[H]
5gwe,Cc1ccc(OP(=O)(O)O)cc1
5za9,[H]N([H])C1=C(C(=O)N([H])C(N([H])[H])=[N+]([H])[H])N([H])C(c2cc3ccccc3o2)=C(N2CCCCCC2)N1[H]
2v54,[H]OC1CC(n2cc(C)c(=O)n([H])c2=O)OC1COP(=O)(O)OP(=O)(O)O
3evd,[H]OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C1O[H]
4dfg,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(OC)cc1)C(Cc1ccccc1)N([H])C(=O)OC1CC2OCC(N([H])C(=O)OC)C2C1
3zk6,[H]N1c2ccccc2SC1N([H])N([H])C(C)c1ccc(-c2cccc(S(=O)(=O)N([H])C(=O)CCCCCc3ccccc3)c2)o1
4qxo,Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C
4wz6,[H]OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
4b2i,[H]N1C=C2CC=CC=C2N1[H]
4k4j,CC(=CC=CC(C)=CC(=O)O)C=C1CCCc2ccccc21
1yq7,[H]OC(CC1=CN([H])CC=C1)(P(=O)(O)O)P(=O)(O)O
4r5m,[H]ON(O[H])c1ccc(C(=O)O)c(P(=O)(O)O)c1
4cr5,[H]n1c(=O)ccc2cc(Cl)ccc21
2gv6,[H]N([H])C(c1cccc(CC(C(=O)N2CCC(CCN([H])C(N([H])[H])=[N+]([H])[H])CC2)N([H])S(=O)(=O)c2ccc3ccccc3c2)c1)=[N+]([H])[H]
1h46,[H]OC(COc1cccc2ccccc12)CN([H])C(C)C
2e7f,[H]N1CC(CN([H])c2ccc(C(=O)N([H])C(CCC(=O)O)C(=O)O)cc2)N(C)C2=C1N([H])C(N([H])[H])N([H])C2=O
3cyx,[H]OC(C[N+]1([H])CC2CCCCC2CC1C(=O)N([H])C(C)(C)C)C(Cc1ccccc1)N([H])C(=O)C(CC(=O)N([H])[H])N([H])C(=O)C1=CC=C2C=CC=CC2N1[H]
4gkh,[H]N([H])C1C2=C(c3cccc4ccccc34)N([H])N(C(C)(C)C)C2N([H])CN1[H]
2vhj,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
3jy0,[H]OC1CC[N+]([H])(CC2N([H])C(=O)c3sc4ccc(Cl)cc4c3N2[H])C1
2ra6,[H]Oc1ccc(CC)cc1
3ehy,[H]N(C(C)C(=O)O)S(=O)(=O)c1ccc(OC)cc1
3vw2,COC1=CCC2=CC3=C4C=C5OCOC5=CC4C=CN3C=C2C1OC
2q8g,[H]OC(C)(C(=O)N([H])c1ccc(S(=O)(=O)c2ccc(C(=O)N(C)C)cc2)cc1Cl)C(F)(F)F
3q6z,[H]OC1OC(COP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C(N([H])[H])N([H])CN([H])C43)C(O[H])C2O[H])C(O[H])C1O[H]
2wtx,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(n2ccc(=O)n([H])c2=O)C1O[H]
2zc9,[H]N(Cc1cccc(Cl)c1)C(=O)C1CCCN1C(=O)C(Cc1ccccc1)[N+]([H])([H])[H]
3l3n,[H]N(C(=O)C(CCCC[N+]([H])([H])[H])[N+]([H])([H])C(CCc1ccccc1)C(=O)O)C(Cc1cn([H])c2ccccc12)C(=O)O
1s17,[H]ON([H])C(=O)CC1Sc2ccccc2N([H])C1=O
5f2r,[H]OC1C(COP(=O)(O)OP(=O)(O)CP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
6hh5,[H]OC1CC(COP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C(N([H])[H])N([H])CN([H])C43)C(O[H])C2O[H])[N+]([H])([H])C1
5eq1,[H]N1CN2c3c(C)cccc3SC2N1[H]
6dsp,[H]OC1COC(C)(O[H])C1(O[H])O[H]
4cc6,[H]OCCN([H])C1=CC(C2=C3C=CN([H])C=C3N([H])N2[H])N([H])C(C(F)(F)F)=C1
5op4,[H]N(CC)C1=C(C(F)(F)F)CN([H])C(N([H])c2cc(F)c(C(=O)N3CCOCC3)cc2OC)N1[H]
4qjw,[H]OCCS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)N([H])[H])c(F)c1N([H])Cc1ccccc1
6ffi,[H]N1C(C)=CC=CC1C#Cc1cccc(OC)c1
1gro,[H]OC(C(=O)O)C(CC(=O)O)C(=O)O
4abd,[H][N+]([H])([H])Cc1cccc(-n2cccc2)c1
4fxp,[H]OC1C(COP(=O)(O)OS(O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
5xfv,[H]OC(COP(=O)(O)O)C(O[H])C(CN1c2cc(C)c(C)cc2N([H])c2c1n([H])c(=O)n([H])c2=O)O[H]
3fal,[H]OC(c1ccc(N(CCCC)Cc2cc(Cl)c(OC)c(OC)c2)cc1)(C(F)(F)F)C(F)(F)F
5nw1,[H]OC1CC(C(=O)N([H])Cc2ccc(C3=C(C)N([H])CS3)cc2)N(C(=O)C(N([H])C(=O)C2CCC2)C(C)(C)C)C1
2vj8,[H]ON(CC(Cc1ccc(OCc2ccccc2)cc1)[N+]([H])([H])[H])C(=O)CCCCC(=O)O
4azi,[H]OCC1OC(N([H])OC(=O)N([H])c2ccccc2)C(N([H])C(C)=O)C(O[H])C1O[H]
3qlm,CCCCCCCCCCCCCCCC(=O)O
4ojz,[H]OC1CC(C(=O)O)OC(OC2C(C(=O)O)OC(OC3C(C(=O)O)OC(O[H])C(O[H])C3O[H])C(O[H])C2O[H])C1O[H]
5ia1,[H]N1CC2=C(c3ccc(Cl)cc3C1c1c(F)cccc1F)N([H])C(N([H])c1ccc(C(=O)O)cc1)N([H])C2
5tfx,[H]N(C(=O)c1ccccc1)C1Oc2ccc(S(=O)(=O)N([H])[H])cc2N1[H]
5eh5,[H]N1CC=C(C)N([H])C1S(=O)(=O)N([H])[H]
1a28,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
2zxg,[H]N(C(=O)C(Cc1ccccc1)CP(=O)(O)C(C)[N+]([H])([H])[H])C(Cc1ccccc1)C(=O)O
4owm,[H]N([H])c1c(F)cccc1C(=O)O
6ge7,CCCCCCCCCCCCCCCCCCC(=O)O
4k3n,[H]N1CC=CN1c1ccc(C([N+]([H])([H])[H])P(=O)(O)O)cc1
1pzp,[H]N(CC(C#N)c1nnn([H])n1)c1ccc(N([H])c2ccccc2)cc1
2hnx,CCCCCCCCCCCCCCCC(=O)O
5xxh,CC(=O)c1cn(CC(=O)N2CCCC(C(=O)O)C2)c2ccccc12
3ml5,[H]N(C(C)=O)C1SC(S(=O)(=O)N([H])[H])N([H])N1[H]
1f0r,[H]N([H])C1=c2cc(CN3CCC(N([H])S(=O)(=O)C4C=C5C(=CC=CN5[H])S4)C3=O)ccc2=CCN1[H]
1opb,[H]OCC=C(C)C=CCC(C)C=CC1=C(C)CCCC1(C)C
4zcs,[H]OC1C(COP(=O)(O)OP(=O)(O)OCC[N+](C)(C)C)OC(N2CC=C(N([H])[H])N([H])C2=O)C1O[H]
3npc,[H]N(C(=O)N([H])C1C=C(C(C)(C)C)N([H])N1c1ccc(C)cc1)c1ccc(OCC[N+]2([H])CCOCC2)c2ccccc12
2f7p,[H]OC1C(O[H])C(SC)C([N+]([H])([H])Cc2ccccc2)C1O[H]
1d4p,[H]N([H])C(c1ccc2c(c1)cc(C(=O)N1CCC(Cc3ccccc3)CC1)n2[H])=[N+]([H])[H]
3f7h,[H]N(C(=O)C(c1ccccc1)c1ccccc1)C1CCC2CCN(C(=O)C(N([H])C(=O)C(C)[N+]([H])([H])C)C(C)(C)C)C21
1ft7,[H][N+]([H])([H])C(CC(C)C)P(=O)(O)O
6es0,[H]N(C)C(=O)C1C=C(Oc2ccc(N([H])C(=O)N([H])c3ccc(SCC(=O)O)c(F)c3)c(F)c2)C=CN1[H]
6knh,[H]OC(CC(=O)O)(CC(=O)O)C(=O)O
5d3h,[H]OCC(=O)c1c(CC)c(C(=O)N([H])c2cc(S(=O)(=O)N(CC)CC)ccc2O[H])n([H])c1C
4umc,CC(OP(=O)(O)O)C(=O)O
4b0b,[H]N([H])c1cccc(OC2C=CC=CN2[H])c1
6g34,[H]OCC1OC(n2cc(I)c3c2N([H])CN([H])C3N([H])[H])C(O[H])C1O[H]
4fua,[H]ON([H])C(=O)COP(=O)(O)O
3ozg,[H]OCC(CCP(=O)(O)O)[N+]([H])([H])Cc1cn([H])c2c1N([H])CN([H])C2=O
2ewb,[H]SCC(C)C(=O)N1CC(Sc2ccccc2)CC1C(=O)O
3c84,[H]N(C#N)C1SCCN1CC1=CN([H])C(Cl)C=C1
4v2o,[H]N1C=CC(N([H])C(C)CCCN(CC)CC)=C2C=CC(Cl)=CC21
3hku,[H]N([H])S(O)(O)OCC12OCC3OC(C)(C)OC3C1OC(C)(C)O2
6faa,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
3dx2,[H]OC1C(O[H])C(S(C)=O)C([N+]([H])([H])[H])C1O[H]
3wvm,CCCCCCCCCCCCCCCCCC(=O)O
1ecv,[H]N(C(=O)C(=O)O)c1ccc(I)cc1C(=O)O
4crf,[H]Oc1cc(=O)n([H])c2ccc(C(=O)N([H])C(Cc3ccccc3)C(=O)N([H])Cc3cc(=O)n([H])c4ccc(Cl)cc34)cc12
5u4d,[H]Oc1ccc(C=Cc2cccc(C(=O)O)c2)c(Cl)c1
1wn6,[H]OC1([N+]([H])([H])[H])C=CN(C2CCC(N([H])C(=O)CC(CCN(C)C(N([H])[H])=[N+]([H])[H])[N+]([H])([H])[H])C(C(=O)O)O2)C(=O)N1[H]
4mxp,[H]OC1C(O[H])C(OP(=O)(O)OCC(COC(=O)CCC)OC(=O)CCC)C(O[H])C(O[H])C1OP(=O)(O)O
1ogg,[H]OCC1OC(OC2C(CO[H])OC(OC3C(CO~[HH])C4OC(N(C)C)N(~[HH])C4C3O~[HH])C(N([H])C(C)=O)C2O[H])C(N([H])C(C)=O)C(O[H])C1O[H]
3e6y,[H]OC1C(C)C2CCC(COC)(O[H])C2=CC2(C)CCC(C(C)C)C2C1OC1OC(COC)C23OC(OC2C1O[H])C(C)(CCOC=O)O3
5nzn,[H]N(C(C)=O)C1C(OC(CC)CC)C=C(C(=O)O)CC1[N+]([H])([H])[H]
4i8x,[H]N1C=C(C(=O)O)C=CC1c1ccccc1
2we3,[H]OC1CC(N2C=CC(O[H])N([H])C2=O)OC1COP(=O)(O)OP(=O)(O)OP(=O)(O)O
1n0s,[H]OC1=CCC2=C(c3ccccc3C(=O)O)C3=C(CC(=O)C=C3)OC2=C1
4i7e,CC(OP(=O)(O)O)C(=O)O
2fpz,[H]N([H])C1N([H])c2ccccc2N1[H]
5kcb,[H]N([H])C1=CC2C(=c3ccc(N([H])[H])cc3=C(c3ccccc3)N2CC)C=C1
3hp9,[H]N(c1cc(C(F)(F)F)ccc1Cl)c1ccc(OC)cc1C(=O)O
1sdu,[H]OC(CC(Cc1ccccc1)C(=O)N([H])C1c2ccccc2CC1O[H])C[N+]1([H])CC[N+]([H])(CC2=CC=CN([H])C2)CC1C(=O)N([H])C(C)(C)C
1eix,[H]OC1=CC(=O)N([H])C(O[H])N1C1OC(COP(=O)(O)O)C(O[H])C1O[H]
1g45,[H]N(Cc1ccccc1F)C(=O)c1ccc(S(=O)(=O)N([H])[H])cc1
1ctt,[H]OCC1OC(N2C=CCN([H])C2=O)C(O[H])C1O[H]
6gl9,[H]N1CC2=C(c3ccn([H])c31)N(C1CCCCC1)C(c1cccc(C=CC#N)c1)N2[H]
4q9y,[H]Sc1cccc(C)c1
4xj2,[H]OC(COP(=O)(O)O)C(O[H])C(CN1c2cc(C)c(C)cc2N([H])c2c1n([H])c(=O)n([H])c2=O)O[H]
4orm,[H]n1c(C(=O)O)cc(=O)n([H])c1=O
5km9,[H]OCC1OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C(O[H])C1O[H]
3s72,[H]N1c2ccccc2N([H])C1S(=O)(=O)N([H])[H]
3fx6,[H]OC(CC(Cc1ccccc1)C(=O)O)(C[N+](=O)[O-])O[H]
4q19,[H]Oc1cc(C2SC(CCC)=C(CSC3N([H])C(N([H])[H])=CC(N([H])[H])N3[H])N2[H])ccc1OC
2pvk,[H]N(Cc1ccc(Cl)cc1)C1N([H])C2=C(C#N)CN([H])N2C(N([H])c2ccccc2)N1[H]
1amk,O=C(O)COP(=O)(O)O
4x6x,[H]N(C(=O)N1CCC(Oc2ccc(CCC(=O)O)cc2)CC1)C1C(c2ccccc2)C1c1ccccc1
5hvs,[H]Oc1ccc(N2C=C(C3=CC=C4C(Oc5cccc(C(=O)O)c5)=CC=CC4N3[H])N([H])N2)cc1F
6gfz,[H]OC1CN(C(=O)C(N([H])C(C)=O)C(C)(C)C)C(C(=O)N([H])Cc2ccc(C3=C(C)N([H])CS3)cc2)C1F
5y3n,[H]N1C(Cl)C2=CN([H])N(Cc3cc4c(cc3Br)OCO4)C2N([H])C1N
3bbf,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C1O[H]
4dq2,[H]OC1C(COP(=O)(O)OCCCCCC2SCC3C2N([H])C(=O)N3[H])OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
1oar,[H]Oc1c(S(O)(O)O)cc2c(c1O[H])C(=O)c1ccccc1C2=O
5zkc,[H]OCC(C(=O)OC1CC2C3OC3C(C1)[N+]2(C)C)c1ccccc1
1ogd,[H]OC1COC(O[H])C(O[H])C1O[H]
2fqo,[H]OC(CSCCC(C(=O)O)[N+]([H])([H])[H])C(O[H])C(=O)N([H])O[H]
4qew,[H]N1C(c2ccc(Cl)cc2)c2cc(OC)ccc2N2C(C)N([H])N([H])C2C1C(CC)C(=O)OC
4ej8,[H]n1ccc2ccc(C(=O)O)cc21
1f5k,[H]N([H])C(c1ccccc1)=[N+]([H])[H]
4std,[H]Oc1ccc(F)cc1C(=O)N([H])C(C)c1ccc(Br)cc1
4q99,[H]Oc1ccc(C)cc1S[H]
5ucj,[H]OC1C(C(=O)n2cc3ccc(F)cc3c2)=CC(C(C)C)=C2ON([H])C=C21
1pxo,[H]N([H])C1SC(C2C=CN([H])C(N([H])c3cccc([N+](=O)[O-])c3)N2[H])=C(C)N1[H]
5u28,O=C1CC(N2CCOCC2)Oc2c(-c3ccc4c(c3)OCCO4)csc21
1g46,[H]N(Cc1cccc(F)c1F)C(=O)c1ccc(S(=O)(=O)N([H])[H])cc1
2avs,[H]OC(CC(Cc1ccccc1)C(=O)N([H])C1c2ccccc2CC1O[H])C[N+]1([H])CC[N+]([H])(CC2=CC=CN([H])C2)CC1C(=O)N([H])C(C)(C)C
1tpw,[H]ON([H])C(=O)COP(=O)(O)O
3s76,[H]N1C=CN([H])C1S(=O)(=O)N([H])[H]
5j20,[H]Oc1cc(O[H])c(C2N(c3ccccc3F)C(=O)N([H])N2[H])cc1C(=O)N(C)Cc1ccco1
3qin,[H]OC1=C(O[H])N([H])C(Cc2ccc(OC)c(Br)c2)N([H])C1C(=O)O
5f08,Cc1ccc(N2CCC(CCC(=O)N3CCCC3)CC2)cc1
5cbs,[H]Oc1cccc(-c2cccc(CC(C(=O)O)[N+]([H])([H])[H])c2)c1
5yh8,[H]N1C=C(CC(C(=O)O)[N+]([H])([H])CCC(C(=O)O)[N+]([H])([H])C(C)C(=O)O)N([H])C1
2x5w,CC(C)CCCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
3pvw,[H]N1C=CC(C2N(CCC)C(CN([H])c3cccc(C(=O)N([H])Cc4c(F)cccc4F)c3)N([H])N2[H])N([H])C1
5klp,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O
4l77,CC12CCC(CC1)C(C)(C)O2
3x00,[H]N(CCCCCC=O)C(=O)CCCCC1SCC2C1N([H])C(N([H])[H])N2[H]
6f90,[H]OCC1C(O[H])C(O[H])C(O[H])C2N([H])C=CN12
6eji,[H]OCC1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)n([H])c3=O)C(O[H])C2O[H])C(N([H])C(C)=O)C(O[H])C1O[H]
1uw6,[H]N1C=CC=C(C2CCC[N+]2([H])C)C1
2whp,[H]N([H])C(=O)C1=CCN(COCN2C=CC=CC2)C=C1
4mrg,[H]N([H])c1cccc2c1CC[N+]([H])([H])C2
4nbn,[H]Oc1ccccc1CN([H])C1=CC(N([H])Cc2ccccc2O[H])N([H])CN1[H]
3u10,[H]OC1C2OP(=O)(O)OCC2OC1N1CN([H])C2=C1N([H])CN([H])C2N([H])[H]
6b7a,[H]Oc1cccc2c1N([H])C(C)N2[H]
5ti0,[H]OC1=C(S[H])CC=CC=C1
3sfg,[H]OCC1OC(n2ccc(=O)n([H])c2=S)C(O[H])C1O[H]
3le9,[H]N1C(=O)N([H])C(Cn2c(=O)c3cc(OC)ccc3n2[H])(c2ccccc2)C1=O
1b6k,[H]Oc1ccc(CC(C(C[N+]([H])([H])C2Cc3ccc(cc3)OCCCN([H])C(=O)C(C(C)CC)N([H])C2=O)O[H])N([H])C(=O)C(C(C)C)N2CCCC2=O)cc1
5kz0,[H]N([H])C1=C(OC(C)c2cc(F)ccc2C(=O)N(C)C)C=C(C2=C(C)N([H])N(C)C2)CN1[H]
4bc5,[H]OCC(=O)C(O[H])C(CF)O[H]
2bo4,[H]OC(CC(=O)O)(CC(=O)O)C(=O)O
2b3b,[H]OCC1OC(O[H])C(O[H])C(O[H])C1O[H]
4avs,CC(=O)N1CCCC1C(=O)O
1km3,[H]OC1C(COP(=O)(O)O)OC(N2C(=O)N([H])C(=O)CN2[H])C1O[H]
2vjx,[H]OCC1CN([H])C(=O)C(O[H])C1O[H]
2bes,[H]OC(COP(=O)(O)O)C(O[H])C(=O)N([H])O[H]
3zdh,[H]N1C=CN(C)C1OCCC(C)[N+]([H])(C)C
4wiv,[H]N1C=CN2C(=C1)N([H])C(c1ccc(C3=C(C)N([H])OC3C)cc1)=C2N([H])C(C)(C)C
5z75,[H]OC1C(COP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C(N([H])[H])N([H])CN([H])C43)C(O[H])C2O[H])OC(N2C=CC=C(C(=O)N([H])[H])C2)C1O[H]
5hvt,[H]Oc1ccc2c(c1)OC(=O)N(c1ccc(OC)cc1)C2
6r1b,[H]OCC(COP(=O)(O)OCC[N+](C)(C)C)O[H]
3dcc,[H]N1C(c2ccccc2Cl)SC(S(=O)(=O)N([H])[H])N1[H]
4n7u,[H]OCC(C)CCCP(=O)(O)OP(=O)(O)O
5l13,CCCc1c(C)c2cc3c(C)c(C)oc3cc2oc1=O
4zs4,[H]OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
1k21,[H]N([H])C(N([H])CCCN([H])C(=O)C1CCC=CN1C(=O)C(CC1CCCCC1)[N+]([H])([H])CC(=O)O)=[N+]([H])[H]
2bl9,[H]N([H])C1C(c2ccc(Cl)cc2)=C(CC)N([H])C(N)N1[H]
4i6h,[H]N1CSC=C1C1N([H])C=CN1C1N([H])C=C2C(N1[H])N(C1CCCC1)C(CC)C(=O)N2C
5eou,[H]OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
1f8b,[H]OCC(O[H])C(O[H])C1OC(C(=O)O)=CC(O[H])C1N([H])C(C)=O
2vvc,[H]N(C(=O)C[N+]1([H])CC(OC)C(N([H])C(=O)c2ccc(Cl)s2)C1)c1ccc(-n2ccccc2=O)cc1F
3g0w,[H]OC1CCN2C1C(C(F)(F)F)OC2N([H])c1ccc(C#N)c(Cl)c1C
1zhy,[H]OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1
5var,[H]OC1C(C[N+]([H])(C)C)C2CCC1(c1ccccc1)C2
5j0d,[H]N(C(=O)c1cc(-c2cc(OC)cc(OC)c2)cc2c1OCCN(C(=O)CC)C2)C1CCC[N+]([H])(C)C1
4whs,[H]Oc1ccc(F)cc1O[H]
1dl7,C[N+](C)(C)CCOP(=O)(O)Oc1ccc([N+](=O)[O-])cc1
3dc3,[H]OC(=C)N([H])C1SC(S(=O)(=O)N([H])[H])N([H])N1[H]
1h4w,[H]N([H])C(c1ccccc1)=[N+]([H])[H]
2hb3,[H]OCc1ccc(S(=O)(=O)N(CC(C)C)CC(O[H])C(Cc2ccccc2)N([H])C(=O)OC2CC3CCOC3C2)cc1
1pdz,O=C(O)COP(=O)(O)O
5lud,[H]N([H])C1=CC=CN([H])C1N([H])[H]
5nlk,[H]N(C(C)=O)c1cc(C(=O)N([H])c2cc(C(C)=O)ccc2OCC)cc(N([H])C(=O)c2ccco2)c1
3nw3,[H]OCC1OC(O[H])C(N([H])C(C)=O)C(OC(C)C(=O)N([H])C(C)C(=O)N([H])C(CCC(=O)N([H])[H])C(=O)O)C1O[H]
1gyx,O=C(O)c1ccccc1
2pyn,[H]Oc1cccc(C(=O)N([H])C(CSc2ccccc2)C(C[N+]2([H])CC3CCCCC3CC2C(=O)N([H])C(C)(C)C)O[H])c1C
