PDBCode,DatabaseSmile,RDKitCanonSmile
4mrg,Nc1cccc2c1CC[NH2+]C2,Nc1cccc2c1CC[NH2+]C2
2isw,ONC(=O)COP(O)(O)O,O=C(CO[PH](O)(O)O)NO
5njz,O=C(c1cccc(c1)Nc1ncc(s1)C(=O)Nc1c(C)cccc1Cl)NC1CC[NH2+]CC1,Cc1cccc(Cl)c1NC(=O)c1cnc(Nc2cccc(C(=O)NC3CC[NH2+]CC3)c2)s1
4bpm,CC(C)(C)C(=O)NCc1ccc(c(c1Cl)Nc2nc3cc(c(cc3n2C)OCC(C)(C)O)C(=O)NCC(F)(F)F)Cl,Cn1c(Nc2c(Cl)ccc(CNC(=O)C(C)(C)C)c2Cl)nc2cc(C(=O)NCC(F)(F)F)c(OCC(C)(C)O)cc21
4ymb,CCC[C@@H]1C[NH2+][C@@H]([C@H]1c1cccc(c1)C(=O)O)C(=O)O,CCC[C@@H]1C[NH2+][C@H](C(=O)O)[C@H]1c1cccc(C(=O)O)c1
4tmn,CC(C[C@@H](C(=O)N[C@H](C(=O)O)C)NP([C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)(O)O)C,CC(C)C[C@H](N[PH](O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)O
4qew,COC(=O)[C@@H]([C@@H]1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)ccc(c2)OC)CC,CC[C@@H](C(=O)OC)[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21
1g7g,CCCCCNC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCC(=O)O)Cc1ccc(c(c1)C(=O)O)OCC(=O)O,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CCC(=O)O
6hlx,OC[C@H]([C@H]([C@@H]([C@@H](CN1C(=O)CC[C@H]1C(=O)O)O)O)O)O,O=C(O)[C@@H]1CCC(=O)N1C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
5dey,CNc1ncc2c(n1)n(C[C@@H]1OC[C@H](CO1)[NH3+])c(=O)c(c2)c1ccc(cc1Cl)c1cccc(n1)C,CNc1ncc2cc(-c3ccc(-c4cccc(C)n4)cc3Cl)c(=O)n(C[C@H]3OC[C@H]([NH3+])CO3)c2n1
1c5p,NC(=[NH2+])c1ccccc1,NC(=[NH2+])c1ccccc1
2ql9,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O
3f8e,COc1cc(O)c(cc1[C@H](CC(C)C)O)CCC(=O)O,COc1cc(O)c(CCC(=O)O)cc1[C@@H](O)CC(C)C
1nwl,CC(=O)NCCSSCCNC(=O)[C@@H]1CC[C@@H](CC1)NC(=O)c1nccnc1C(=O)O,CC(=O)NCCSSCCNC(=O)[C@H]1CC[C@@H](NC(=O)c2nccnc2C(=O)O)CC1
966c,ONC(=O)CC1(CCOCC1)S(=O)(=O)c1ccc(cc1)Oc1ccccc1,O=C(CC1(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)CCOCC1)NO
4y24,c1cc(cc(c1)F)c2cn(nn2)[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)S[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)n5cc(nn5)c6cccc(c6)F)O)CO)O,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2O)[C@H](O)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1O
5y8y,COc1cc2onc(c2cc1NS(=O)(=O)c1cc(Br)ccc1OC)C,COc1cc2onc(C)c2cc1NS(=O)(=O)c1cc(Br)ccc1OC
1dqx,C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)O,O=c1cc(O)n([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
2al5,OC(=O)[C@H](Cn1cc(F)c(=O)[nH]c1=O)[NH3+],[NH3+][C@@H](Cn1cc(F)c(=O)[nH]c1=O)C(=O)O
3bf1,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
5fs0,c1cc(c(cc1Cl)Cl)O,Oc1ccc(Cl)cc1Cl
2qd7,CC(CN(S(=O)(=O)c1ccc2c(c1)OCO2)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc2c(c1)OCO2
1ele,C[C@@H](C(=O)Nc1ccc(cc1)C(F)(F)F)NC(=O)[C@H](C(C)C)NC(=O)C(F)(F)F,CC(C)[C@H](NC(=O)C(F)(F)F)C(=O)N[C@@H](C)C(=O)Nc1ccc(C(F)(F)F)cc1
5dh4,Clc1cc(NCc2sc(nc2C)C)n2c(n1)ccn2,Cc1nc(C)c(CNc2cc(Cl)nc3ccnn23)s1
1nki,OC(=O)P(O)(O)O,O=C(O)[PH](O)(O)O
2yi7,CCOc1ccc(cc1)c1snnc1c1cc(Cl)c(cc1O)O,CCOc1ccc(-c2snnc2-c2cc(Cl)c(O)cc2O)cc1
2ya8,CCC(O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)[NH3+])C(=O)O)CC,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H]([NH3+])[C@H]1NC(C)=O
4u69,CCC[C@@H]([C@@H](P(O)(O)O)[NH3+])C,CCC[C@H](C)[C@H]([NH3+])[PH](O)(O)O
4c6u,C=C/C(=C[C@@]1(C)SC(=O)C(=C1O)C(=O)C)/C,C=CC(C)=C[C@@]1(C)SC(=O)C(C(C)=O)=C1O
2f7o,CS[C@@H]1[C@@H]([NH3+])[C@H]([C@H]([C@H]1O)O)O,CS[C@@H]1[C@@H]([NH3+])[C@@H](O)[C@@H](O)[C@H]1O
5osl,[NH3+]Cc1ccc(c(c1)Cl)c1ccccc1O,[NH3+]Cc1ccc(-c2ccccc2O)c(Cl)c1
4phu,OC(=O)C[C@@H]1COc2c1ccc(c2)OCc1cccc(c1)c1c(C)cc(cc1C)OCCCS(=O)(=O)C,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1
2y82,Clc1ccc2c(c1)ccc(c2)S(=O)(=O)N[C@H]1CCN(C1=O)c1ccc(cc1F)[C@H]1[NH2+]CCC1,O=C1[C@@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1c1ccc([C@@H]2CCC[NH2+]2)cc1F
1tjp,O[C@@H]([C@H](Nc1ccccc1O)O)COP(O)(O)O,Oc1ccccc1N[C@H](O)[C@H](O)CO[PH](O)(O)O
6fs1,OC(=O)c1[nH]c2c(c1CCCOc1cccc3c1cccc3)cccc2c1c(CSCc2nn(c(c2)C)C)nn(c1C)C,Cc1cc(CSCc2nn(C)c(C)c2-c2cccc3c(CCCOc4cccc5ccccc45)c(C(=O)O)[nH]c23)nn1C
5dfp,CCN1c2nc(NCC[C@@H]3CC[N@@H+](CC3)C)ncc2CC(=C1O)c1ccc(cc1Cl)c1cncc(n1)C,CCN1C(O)=C(c2ccc(-c3cncc(C)n3)cc2Cl)Cc2cnc(NCCC3CC[NH+](C)CC3)nc21
5om3,NC(=O)[C@@H]1[C@H](O)[C@@H]([NH+](C)C)[C@H]2[C@](C1=O)(O)C(=C1[C@H]([C@@H]2O)[C@@H](C)c2c(C1=O)c(O)ccc2)O,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)[C@H](C(N)=O)[C@H](O)[C@@H]([NH+](C)C)[C@@H]3[C@@H](O)[C@@H]21
5g2g,Oc1ccc2c(c1)ccc1c2C=C[C@]2(C1=CCC2=O)C,C[C@]12C=Cc3c(ccc4cc(O)ccc34)C1=CCC2=O
3uil,CCCCCCCCCCCC(=O)O,CCCCCCCCCCCC(=O)O
4q6e,Cc1nn(c(c1)C)C(=O)CCNc1ccc(cc1)S(=O)(=O)N,Cc1cc(C)n(C(=O)CCNc2ccc(S(N)(=O)=O)cc2)n1
3ldw,CC(=C)CCO[P@@](=O)(O)OP(=O)(O)O,C=C(C)CCO[P@@](=O)(O)OP(=O)(O)O
2q7q,[NH3+]Cc1ccc(cc1)Cl,[NH3+]Cc1ccc(Cl)cc1
1q8u,C[C@H]1C[NH2+]CCCN1S(=O)(=O)c1cccc2c1c(C)cnc2,Cc1cncc2cccc(S(=O)(=O)N3CCC[NH2+]C[C@@H]3C)c12
3aid,O=C(OC(C)(C)C)N[C@H]([C@H](C[N@+](NC(=O)c1ccccc1)(Cc1ccccc1)C)O)Cc1ccccc1,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[N@@+](C)(Cc1ccccc1)NC(=O)c1ccccc1
1lox,CCCCCCC#Cc1ccccc1C=CC(=O)O,CCCCCCC#Cc1ccccc1C=CC(=O)O
2xg9,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)[NH2+]C[C@@H]([C@H]2O)O)[C@@H]([C@H]([C@@H]1O)O)O,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)[NH2+]C[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
3sw8,ON(C=O)CCNC(=O)c1cccc(c1Cl)Cl,O=CN(O)CCNC(=O)c1cccc(Cl)c1Cl
2cf8,CC([C@H]1N(Cc2ccc(cc2)Cl)C(=O)[C@H]2[C@@H]1[C@@H]1CCC[N@@H+]1[C@H]2c1ccc(cc1)C(=[NH2+])N)C,CC(C)[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(Cl)cc1)[C@H](c1ccc(C(N)=[NH2+])cc1)[N@H+]1CCC[C@@H]21
3s76,NS(=O)(=O)c1ncc[nH]1,NS(=O)(=O)c1ncc[nH]1
5ie3,C(=O)(C(=O)O)O,O=C(O)C(=O)O
3l4w,OCC[N@@H+]1C[C@H](O)[C@H]([C@@H]([C@H]1CO)O)O,OCC[N@@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
6p83,CC1(Cc2c(c(c3c(n2)nn(c3O)c4ccccc4)c5ccccc5Cl)C(=O)C1)C,CC1(C)CC(=O)c2c(nc3nn(-c4ccccc4)c(O)c3c2-c2ccccc2Cl)C1
4re4,OC[C@H]1C[NH2+]C[C@H]([C@@H]1O)O,OC[C@H]1C[NH2+]C[C@@H](O)[C@@H]1O
6hke,OC(=O)C[C@H](C(=O)O)O,O=C(O)C[C@@H](O)C(=O)O
4w9d,O[C@@H]1C[C@H](N(C1)C(=O)CC(C)(C)C)C(=O)NCc1ccc(cc1)c1ocnc1C,Cc1ncoc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)CC(C)(C)C)cc1
1kv1,O=C(Nc1cc(nn1C)C(C)(C)C)Nc1ccc(cc1)Cl,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cl)cc1
1q1g,CSCC1[NH2+]C(c2c[nH]c3c(=O)[nH]cnc23)C(O)C1O,CSCC1[NH2+]C(c2c[nH]c3c(=O)[nH]cnc23)C(O)C1O
1j17,Clc1ccc2c(c1)ccc(c2)S(=O)(=O)N1CCN(CC1)C(=O)C1CCN(CC1)c1ccncc1,O=C(C1CCN(c2ccncc2)CC1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1
1lbf,O[C@@H]([C@@H]([C@@H](COP(O)(O)O)O)O)CNc1ccccc1C(=O)O,O=C(O)c1ccccc1NC[C@@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O
5n84,CC(CNc1nccn2c1ncc2c1ccc(cc1)C(=O)NC1CC1)C,CC(C)CNc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12
1e3g,O=C1CCC2=C3C=C[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C)O)C,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C
3ms9,COC(=O)c1ccc(cc1N)Cl,COC(=O)c1ccc(Cl)cc1N
5efc,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1[nH]c(N)[nH+]c2=O,Nc1[nH]c2c(ncn2[C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH+]1
3n3j,O=C(Nc1ccccc1C(C)C)Nc1ccc(cc1)S(=O)(=O)N,CC(C)c1ccccc1NC(=O)Nc1ccc(S(N)(=O)=O)cc1
1fh7,O[C@H]1C[NH2+]C[C@H]([C@@H]1O)O[C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O,O[C@H]1[C@H](O)CO[C@@H](O[C@@H]2C[NH2+]C[C@H](O)[C@H]2O)[C@@H]1O
6fp4,c1cc2ccc(nc2nc1)C(=O)O,O=C(O)c1ccc2cccnc2n1
5n24,N#Cc1ccc(cc1)c1ccc(cc1)S(=O)(=O)N,N#Cc1ccc(-c2ccc(S(N)(=O)=O)cc2)cc1
1mq5,C[N@@H+]1CC[N@H+](CC1)Cc1csc(c1Cl)C(=O)Nc1ccc(cc1C(=O)Nc1ccc(cc1)Cl)Cl,C[NH+]1CC[NH+](Cc2csc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cc3)c2Cl)CC1
6gji,CCOC(=O)CNC(=O)N(Cc1nnn(c1)C)Cc1ccc(cc1)N,CCOC(=O)CNC(=O)N(Cc1ccc(N)cc1)Cc1cn(C)nn1
6fa4,COc1nc(ccc1Nc1ccc(cc1)C[NH+](C)C)c1cccc2c1OCCO2,COc1nc(-c2cccc3c2OCCO3)ccc1Nc1ccc(C[NH+](C)C)cc1
2q5k,O=C(N[C@H]([C@H](C[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
1lke,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)C,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O
4yo8,CCCCCC[N@@H+](Cc1c[nH]c2c1ncnc2N)CO,CCCCCC[N@H+](CO)Cc1c[nH]c2c(N)ncnc12
4ufl,OC[C@H]1[C@H]2CC[C@H]([NH2+]2)[C@H]([C@H]1O)O,OC[C@@H]1[C@H](O)[C@H](O)[C@@H]2CC[C@H]1[NH2+]2
4e4l,CS(=O)(=O)N1CCC(CC1)(C)n1cnc2c1c1cc[nH]c1nc2,CC1(n2cnc3cnc4[nH]ccc4c32)CCN(S(C)(=O)=O)CC1
2dri,O[C@@H]1CO[C@H]([C@@H]([C@@H]1O)O)O,O[C@@H]1CO[C@@H](O)[C@H](O)[C@@H]1O
4gg7,O=N(=O)c1cccc(c1)CNc1nc(nc2c1cc(cn2)c1cnn(c1)C1CC[NH2+]CC1)C(F)(F)F,O=[N+]([O-])c1cccc(CNc2nc(C(F)(F)F)nc3ncc(-c4cnn(C5CC[NH2+]CC5)c4)cc23)c1
3sm2,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)O)C,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
5z7b,COc1cc(ccc1O)C(=O)O,COc1cc(C(=O)O)ccc1O
4re2,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](c2n1ccn2)O,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn21
4m14,NC(=O)Nc1cn(nc1C(=O)N)c1cccc2c1cc(cc2)OC(C)C,CC(C)Oc1ccc2cccc(-n3cc(NC(N)=O)c(C(N)=O)n3)c2c1
3m67,O=C(c1ccc(c(c1)S(=O)(=O)N)Cl)CSc1nc2c([nH]1)cc1c(c2)OCCO1,NS(=O)(=O)c1cc(C(=O)CSc2nc3cc4c(cc3[nH]2)OCCO4)ccc1Cl
1ikt,COCCOCCOCCOc1ccc(cc1)C(CC(C)(C)C)(C)C,COCCOCCOCCOc1ccc(C(C)(C)CC(C)(C)C)cc1
2yhw,OC[C@H]1O[C@H](O)[C@H]([C@H]([C@@H]1O)O)NC(=O)C,CC(=O)N[C@@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
3hu3,O[C@@H]1[C@@H](COP(OP(OP(S)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)S)[C@@H](O)[C@H]1O
1cet,CC[NH+](CCC[C@H](Nc1ccnc2c1ccc(c2)Cl)C)CC,CC[NH+](CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12
5zcu,c1ccc2c(c1)c(ccc2Br)S(=O)(=O)NCc3ccccn3,O=S(=O)(NCc1ccccn1)c1ccc(Br)c2ccccc12
3v3q,CCCCCCCC(=O)c1cc(OC)c(c(c1CC(=O)OCC)OC)OC,CCCCCCCC(=O)c1cc(OC)c(OC)c(OC)c1CC(=O)OCC
4x7q,c1cc(c(c(c1)F)c2nc(cs2)C(=O)Nc3cnccc3O[C@H]4CCNC4)F,O=C(Nc1cnccc1O[C@H]1CCNC1)c1csc(-c2c(F)cccc2F)n1
3fj7,OC(=O)[C@H](OP(O)(O)O)C,C[C@@H](O[PH](O)(O)O)C(=O)O
5hv0,C(CC(=O)O)C(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O
1lgw,Nc1ccccc1F,Nc1ccccc1F
3l0v,COc1ccc2c(c1)c(=O)n([nH]2)C[C@@]1(C)NC(=O)NC1=O,COc1ccc2[nH]n(C[C@@]3(C)NC(=O)NC3=O)c(=O)c2c1
3bxh,OC[C@@]1(O)O[C@@H]([C@H]([C@@H]1O)O)COP(O)(O)O,OC[C@@]1(O)O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@@H]1O
6o1g,Cc1cc(nc(c1CNC(=O)c2cnn(c2)Cc3ccc(cc3)Cn4cccn4)C)N,Cc1cc(N)nc(C)c1CNC(=O)c1cnn(Cc2ccc(Cn3cccn3)cc2)c1
5dq8,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
2f6t,CNC(=O)[C@@H]1Cc2ccc(cc2CN1C(=O)OC(C)(C)C)NS(O)(O)O,CNC(=O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)OC(C)(C)C
4qsu,C[C@H]1C=NC(=O)NC1=O,C[C@H]1C=NC(=O)NC1=O
3h78,OC(=O)c1ccccc1N,Nc1ccccc1C(=O)O
3mna,COC(=O)CNc1nc(Nc2ccc(cc2)S(=O)(=O)N)nc(n1)Cl,COC(=O)CNc1nc(Cl)nc(Nc2ccc(S(N)(=O)=O)cc2)n1
4jss,ON1CC=CCC1=S,ON1CC=CCC1=S
3b3c,[NH3+][C@H](P(O)(O)O)CC(C)C,CC(C)C[C@H]([NH3+])[PH](O)(O)O
6hh3,O[C@@H]1[C@@H](COP(OP(OC[C@H]2[NH2+]C[C@@H]([C@@H]2O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]2[NH2+]C[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
5dxt,NC(=O)[C@@H](Oc1ccc2c(c1)OCCn1c2nc(c1)c1ncnn1C(C)C)C,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(O[C@@H](C)C(N)=O)cc1OCC2
4bb9,O[C@@H]1CO[C@]([C@H]([C@@H]1O)O)(O)COP(O)(O)O,O[C@H]1[C@H](O)[C@H](O)CO[C@]1(O)CO[PH](O)(O)O
4nbn,Oc1ccccc1CNc1ncnc(c1)NCc1ccccc1O,Oc1ccccc1CNc1cc(NCc2ccccc2O)ncn1
4ly9,C[C@H]1COCC[N@H+]1C[C@H]1CN(CCN1c1ccc(cc1)[C@](C(F)(F)F)(O)C)S(=O)(=O)c1cccs1,C[C@H]1COCC[N@H+]1C[C@H]1CN(S(=O)(=O)c2cccs2)CCN1c1ccc([C@@](C)(O)C(F)(F)F)cc1
3tfp,Clc1ccc(c(c1)Cl)Sc1cccc(c1CNC(=O)c1ccccc1C(=O)O)Cl,O=C(O)c1ccccc1C(=O)NCc1c(Cl)cccc1Sc1ccc(Cl)cc1Cl
2vnp,OP(OP(O)(O)O)(OCC[NH+](C)C)O,C[NH+](C)CCO[PH](O)(O)O[PH](O)(O)O
4ase,COc1cc2c(ccnc2cc1OC)Oc1ccc(c(c1)Cl)NC(=O)Nc1noc(c1)C,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC
1m2q,Oc1ccc(c2c1c(=O)c1c(o2)cccc1O)N(=O)=O,O=c1c2c(O)cccc2oc2c([N+](=O)[O-])ccc(O)c12
4ago,CC[NH+]([C@@H]1CC[N@H+](CC1)Cc1cc(C#CCNC(=O)OC(C)(C)C)cc(c1O)I)CC,CC[NH+](CC)C1CC[NH+](Cc2cc(C#CCNC(=O)OC(C)(C)C)cc(I)c2O)CC1
4c1u,OC[C@@H]1O[C@H]([C@@H]([C@H]1O)O)O[C@H]1[C@H](O)CO[C@H]([C@@H]1O)O[C@@H]1CO[C@H]([C@@H]([C@H]1O)O)O,OC[C@@H]1O[C@@H](O[C@H]2[C@H](O)CO[C@@H](O[C@@H]3CO[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@H]1O
1fhw,C1([C@@H]([C@H](C([C@@H]([C@H]1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O,O=P(O)(O)OC1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)C(O)[C@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O
4az5,OC[C@H]1O[C@@H]2S[C@H]([NH2+][C@@H]2[C@H]([C@@H]1O)O)C,C[C@H]1[NH2+][C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2O)S1
1pfy,CSCC[C@@H](C(=O)NS(=O)(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(NC=NC32)N)O)O)N,CSCC[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](N2C=NC3=C(N)NC=NC32)[C@H](O)[C@@H]1O
3neo,OC(=O)COc1cc(C)c(c(c1)C)Cc1ccc(c(c1)Cc1ccccc1)O,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(Cc2ccccc2)c1
1xug,NC(=[NH2+])c1ccc2c(c1)[nH]c(n2)Cc1nc2c([nH]1)cc(cc2)C(=[NH2+])N,NC(=[NH2+])c1ccc2nc(Cc3nc4ccc(C(N)=[NH2+])cc4[nH]3)[nH]c2c1
1thz,OC(=O)c1ccc(cc1/N=N/c1c(C)[nH]n(c1=O)c1ccc(cc1C)S(O)(O)O)S(O)(O)O,Cc1cc(S(O)(O)O)ccc1-n1[nH]c(C)c(/N=N/c2cc(S(O)(O)O)ccc2C(=O)O)c1=O
2y7z,Clc1ccc2c(c1)ccc(c2)S(=O)(=O)N[C@H]1CCN(C1=O)c1ccc2c(c1)CC[C@@H]2[NH+](C)C,C[NH+](C)[C@H]1CCc2cc(N3CC[C@H](NS(=O)(=O)c4ccc5cc(Cl)ccc5c4)C3=O)ccc21
4xtx,N#N=N[C@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COS(=O)(=O)NC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2,[N-]=[N+]=N[C@H]1[C@H](O)[C@@H](COS(=O)(=O)NC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)O[C@H]1n1cnc2c(N)ncnc21
1pro,COc1cc(ccc1O)CN1[N@H+](Cc2ccccc2)C[C@H]([C@H](N(C1=O)Cc1ccc(c(c1)OC)O)Cc1ccccc1)O,COc1cc(CN2C(=O)N(Cc3ccc(O)c(OC)c3)[N@H+](Cc3ccccc3)C[C@@H](O)[C@H]2Cc2ccccc2)ccc1O
3pe2,C#Cc1cccc(c1)Nc1nc2cc(ccc2c2c1ncnc2)C(=O)O,C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1
5e2s,CC(c1ccccc1c1ccc(cc1)S(=O)(=O)N)C,CC(C)c1ccccc1-c1ccc(S(N)(=O)=O)cc1
4z1k,O=C(N1CCc2c(C1)cc(c(c2)O)O)c1ccc(cc1)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)N2CCc3cc(O)c(O)cc3C2)cc1
4hfp,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@@H](NS(=O)(=O)c1cccc2c1NC[C@H](C2)C)CCC[NH+]=C(N)N,C[C@@H]1CNc2c(cccc2S(=O)(=O)N[C@@H](CCC[NH+]=C(N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
3iob,SC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS)[C@@H](O)[C@H]1O
3nox,[NH3+]Cc1c(C)nc2n(c1c1ccc(cc1Cl)Cl)cc(n2)C(=O)N1CCOCC1,Cc1nc2nc(C(=O)N3CCOCC3)cn2c(-c2ccc(Cl)cc2Cl)c1C[NH3+]
4ejl,OC(=O)CCc1c[nH]c2c1cccc2,O=C(O)CCc1c[nH]c2ccccc12
5xqw,CCP(=O)(O)OCc1ccc(cc1)[N+](=O)[O-],CCP(=O)(O)OCc1ccc([N+](=O)[O-])cc1
3tdh,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
6f3b,O=C(Nc1cc(ccc1O)S(=O)(=O)N)NCc1ccc(cc1)C,Cc1ccc(CNC(=O)Nc2cc(S(N)(=O)=O)ccc2O)cc1
5dbm,C[C@@H]1CC(=O)Nc2c(N1)c(ccc2)c1cnn(c1)C(C)(C)C,C[C@@H]1CC(=O)Nc2cccc(-c3cnn(C(C)(C)C)c3)c2N1
2qd6,CC(CN(S(=O)(=O)c1ccc2c(c1)OCO2)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc2c(c1)OCO2
